"Story","Title","Result","Date","Stability","Duration (s)"
"Testing data features on virgingames Application","Check if the virgingames application can be accessed by users","SUCCESS","2023-01-19T18:26:30.761Z[Europe/London]","0.0","6.62"
"Testing data features on virgingames Application","verify data","SUCCESS","2023-01-19T18:26:39.718Z[Europe/London]","0.0","1.02"
